               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016116,           0.0083408,             0.00134,             0.98516,              0.9891,             0.99048,             0.87394,           0.0085926,           0.0035316,          0.00053577,             0.00307,             0.00307,             0.00307
                  37,            0.015528,           0.0086602,           0.0018696,             0.98693,             0.98632,             0.99087,             0.88801,            0.008279,           0.0034739,          0.00047927,            0.002872,            0.002872,            0.002872
                  38,            0.015846,            0.008689,            0.001197,             0.98537,             0.98704,             0.99097,             0.88056,           0.0084249,           0.0035747,          0.00049956,            0.002674,            0.002674,            0.002674
                  39,            0.015779,           0.0083805,           0.0012446,             0.98758,             0.99037,             0.99118,             0.89019,           0.0080386,           0.0034763,          0.00039211,            0.002476,            0.002476,            0.002476
                  40,            0.014949,           0.0085319,           0.0011316,             0.98756,             0.98899,             0.99078,             0.88888,           0.0081925,           0.0033821,          0.00042885,            0.002278,            0.002278,            0.002278
                  41,            0.014607,           0.0085872,           0.0010278,             0.98977,             0.99077,             0.99062,              0.8877,           0.0082969,           0.0034545,          0.00036205,             0.00208,             0.00208,             0.00208
                  42,            0.014561,           0.0082038,          0.00081643,             0.99095,             0.98675,             0.98984,             0.88969,             0.00799,           0.0034811,          0.00034611,            0.001882,            0.001882,            0.001882
                  43,            0.014749,           0.0081167,          0.00090858,             0.98434,             0.99173,             0.98999,             0.89321,           0.0079368,           0.0033632,          0.00037208,            0.001684,            0.001684,            0.001684
                  44,            0.014277,           0.0082889,          0.00093029,             0.98745,             0.98926,             0.98988,             0.89181,           0.0077982,           0.0033974,          0.00026231,            0.001486,            0.001486,            0.001486
                  45,            0.013849,           0.0084517,          0.00089466,             0.98813,             0.98926,              0.9904,             0.89673,           0.0078169,           0.0034561,          0.00035453,            0.001288,            0.001288,            0.001288
                  46,            0.013825,           0.0082721,          0.00088819,             0.98872,             0.98738,             0.99043,             0.89919,           0.0077441,           0.0033661,          0.00037917,             0.00109,             0.00109,             0.00109
                  47,            0.013424,           0.0080593,          0.00070958,             0.98788,             0.98926,             0.99047,              0.9013,           0.0077707,           0.0033572,          0.00036406,            0.000892,            0.000892,            0.000892
                  48,            0.013877,           0.0078548,          0.00069999,             0.99171,             0.99001,               0.991,             0.90423,           0.0076655,           0.0032724,          0.00040615,            0.000694,            0.000694,            0.000694
                  49,            0.013699,           0.0079514,          0.00049865,             0.99141,             0.99002,             0.99094,             0.90433,            0.007556,            0.003262,          0.00039521,            0.000496,            0.000496,            0.000496
